Asset ID,Asset title,Asset type,Location,Pagedip Handle,Time Stamp,Country,State,City,Client session ID,Device type,Media Title,Media Template,Event,Time on page when interaction happened,Tab-It name,Tab-It interaction,Tab label,Tab number,Length of time visible,Slider name,Slider interaction,Slide index,Slide direction,Overlay interaction,Overlay url,Time spent in overlay,Card deck title,Card title,Card interaction,Time spent in card,Bink label,Bink interaction,Time left open,Button Label,Button URL,Table of contents event,Table of contents item URL,Back/Next Direction,Back/Next to Page,Image src,Video time,Link Label,Link URL,External,Sales Contacts Link Label,Sales Contacts Link URL
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T23:39:08.143Z,United States,North Carolina,Reidsville,62c8c0f3-52ac-42ce-b2c1-b73f68cab628,mobile phone,anchor,anchor,link-click,58533,,,,,,,,,,,,,,,,,,,,,,,,,,,,hpe.com/us/en/greenlake.html,,,,
a50002097enw,Four Essential Steps to Adopting IT-as-a-Service,Business Paper,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/,four-essential-steps-to-adopting-it-as-a-service,2022-02-01T06:13:41.370Z,Spain,Seville,Seville,84d3b15b-1044-4dbd-bc83-ca40e594232b,desktop,Table of contents,theme-ext-toc,toggle,101606,,,,,,,,,,,,,,,,,,,,,,toggle,,,,,,,,,,
a50002097enw,Four Essential Steps to Adopting IT-as-a-Service,Business Paper,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/,four-essential-steps-to-adopting-it-as-a-service,2022-02-01T06:13:45.585Z,Spain,Seville,Seville,84d3b15b-1044-4dbd-bc83-ca40e594232b,desktop,Table of contents,theme-ext-toc,link,106186,,,,,,,,,,,,,,,,,,,,,,link,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/step-1,,,,,,,,,
a50002097enw,Four Essential Steps to Adopting IT-as-a-Service,Business Paper,https://greenlake.hpe.pagedip.com/four-essential-steps-to-adopting-it-as-a-service/step-1,four-essential-steps-to-adopting-it-as-a-service,2022-02-01T06:13:47.938Z,Spain,Seville,Seville,84d3b15b-1044-4dbd-bc83-ca40e594232b,desktop,Table of contents,theme-ext-toc,toggle,773,,,,,,,,,,,,,,,,,,,,,,toggle,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:23:45.506Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,anchor,anchor,link-click,100376,,,,,,,,,,,,,,,,,,,,,,,,,,,,container services,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:25:59.064Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,Container Services,overlay,close,233912,,,,,,,,,,close,container-services,133527,,,,,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:27:18.047Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,Unified platform for cloud-native and non-cloud-native apps Card,theme-media-card,toggle,312967,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,Unified platform for cloud-native and non-cloud-native apps Card,open,,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:27:26.949Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,Unified platform for cloud-native and non-cloud-native apps Card,theme-media-card,toggle,321974,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,Unified platform for cloud-native and non-cloud-native apps Card,close,9007,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:27:31.082Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,Persistent storage for stateful apps Card,theme-media-card,toggle,326203,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,Persistent storage for stateful apps Card,open,,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:27:36.113Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,Persistent storage for stateful apps Card,theme-media-card,toggle,331138,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,Persistent storage for stateful apps Card,close,4935,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:27:39.061Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,Enterprise-grade security and control Card,theme-media-card,toggle,334248,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,Enterprise-grade security and control Card,open,,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:27:47.566Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,Enterprise-grade security and control Card,theme-media-card,toggle,342657,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,Enterprise-grade security and control Card,close,8409,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:27:54.607Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,"Pay-per-use, scalable solution Card",theme-media-card,toggle,349613,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,"Pay-per-use, scalable solution Card",open,,,,,,,,,,,,,,,,,
a00099738enw,Modernize On-Premises Applications with a Container Platform Delivered as a Service solution brief,Solution Brief,https://greenlake.hpe.pagedip.com/modernize-on-premises-applications-with-a-container-platform/,modernize-on-premises-applications-with-a-container-platform,2022-02-01T09:28:00.395Z,United States,Washington,Bothell,9a5c8649-5019-42a6-bd4e-ff2d8442ab52,desktop,"Pay-per-use, scalable solution Card",theme-media-card,toggle,355603,,,,,,,,,,,,,Cost-effectively Speed Application Transformation Card Deck,"Pay-per-use, scalable solution Card",close,5990,,,,,,,,,,,,,,,,
