Asset ID,Asset title,Asset type,Location,Pagedip Handle,Time Stamp,Country,State,City,Client session ID,Device type
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T15:22:01.073Z,United States,Texas,Cypress,7ed9b278-4a8b-4b0e-95f3-89870ddc2e24,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T16:19:34.943Z,United States,Virginia,Ashburn,f9e43f48-ff1d-40ef-a002-9e493f1d8505,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T16:19:35.872Z,United States,Colorado,Commerce City,e4ad5219-0168-4728-a54d-53acef2a8f04,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T16:19:36.815Z,United States,Virginia,Ashburn,f9e43f48-ff1d-40ef-a002-9e493f1d8505,desktop
a50000319enw,One plus one equals one_Porshe Informatik forges data center from a single mold case study,Case Study,https://greenlake.hpe.pagedip.com/one-plus-one-equals-one-porsche-informatik-forges-data-center-from-a-single-mold/,one-plus-one-equals-one-porsche-informatik-forges-data-center-from-a-single-mold,2022-01-31T16:43:46.995Z,United States,Maryland,Damascus,fac28a80-e1b2-424b-a7e2-1336fcbe0aee,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T17:09:36.235Z,United States,Virginia,Ashburn,6973c189-8ff0-4349-b361-d6419a3bc914,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T17:09:37.689Z,United States,Virginia,Ashburn,80e71af8-f4d8-402e-8c18-7a257754e1b5,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T17:09:44.294Z,United States,Virginia,Ashburn,7ef3db75-98ff-4d4b-a547-c3640e4f6edc,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T17:09:48.287Z,United States,Virginia,Ashburn,553546f8-6c3c-49ee-9595-96c016379f01,desktop
a50002466enw,Buyer’s Guide: Accelerate Your Hybrid Transformation,Buyers Guide,https://greenlake.hpe.pagedip.com/accelerate-your-hybrid-transformation/,accelerate-your-hybrid-transformation,2022-01-31T17:09:49.376Z,United States,Virginia,Ashburn,54d5052b-8c12-4793-9c46-bac99a241471,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T17:19:34.371Z,India,Andhra Pradesh,Visakhapatnam,516f6fb0-4354-44f5-b9c4-bc67af7865c9,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T17:42:42.256Z,India,Andhra Pradesh,Visakhapatnam,516f6fb0-4354-44f5-b9c4-bc67af7865c9,desktop
a00099072enw,Power your applications with workload-optimized storage on demand solution brief,Case Study,https://greenlake.hpe.pagedip.com/power-your-applications-with-workload-optimized-storage-on-demand/,power-your-applications-with-workload-optimized-storage-on-demand,2022-01-31T17:44:06.131Z,United States,California,San Diego,2214e0b8-b43b-4b25-b4f2-167b3847a0af,mobile phone
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T18:06:26.807Z,United States,Georgia,Loganville,3b39436a-8869-4664-b0f4-596a434191bc,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T18:30:24.461Z,India,Andhra Pradesh,Visakhapatnam,516f6fb0-4354-44f5-b9c4-bc67af7865c9,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T18:51:52.856Z,United States,New Jersey,Hillsborough,fe58510a-bb09-4eff-82f6-b4ab748065c5,mobile phone
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T18:52:50.262Z,United States,California,Santa Clara,a85a0c19-bb0f-4aa3-aa35-24c30d5a38c5,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T18:55:28.030Z,United States,California,Santa Clara,004e2991-ff4f-4f3d-82ba-3534a93d430b,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T18:59:23.937Z,United States,New York,The Bronx,07949799-acd1-44b7-bdda-b708a5705695,mobile phone
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T18:59:58.984Z,United States,New York,The Bronx,08d2d822-0a13-47de-bfe5-a549302c117c,mobile phone
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/desktop-virtualization-solutions,on-premises-vdi-with-cloud-like-economics,2022-01-31T19:00:18.962Z,United States,New York,The Bronx,5a7f0bc6-dbbe-4a80-8e40-a3fee94e32df,mobile phone
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T19:14:23.412Z,United States,Ohio,Lakewood,d65f817e-ad16-46bf-83e1-b32fb16738f4,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T19:35:19.270Z,United States,New York,The Bronx,e3fa7367-f3ec-49c6-b12d-1a0a57924893,mobile phone
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T20:37:19.841Z,United States,New Jersey,Marlboro,bf5793a6-2415-488a-bc56-91ed5980e34b,desktop
a50003034enw,"Enable Secure Remote Work with Scalable, Pay-per-use VDI",Infographic,https://greenlake.hpe.pagedip.com/enable-secure-remote-work-with-scalable-pay-per-use-vdi/,enable-secure-remote-work-with-scalable-pay-per-use-vdi,2022-01-31T20:39:47.789Z,United States,New Jersey,Marlboro,bf5793a6-2415-488a-bc56-91ed5980e34b,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/desktop-virtualization-solutions,on-premises-vdi-with-cloud-like-economics,2022-01-31T20:40:04.765Z,United States,California,Santa Clara,a85a0c19-bb0f-4aa3-aa35-24c30d5a38c5,desktop
a00115358enw,Run services edge-to-cloud with HPE GreenLake Lighthouse,Infographic,https://greenlake.hpe.pagedip.com/run-services-edge-to-cloud-with-hpe-greenlake-lighthouse/,run-services-edge-to-cloud-with-hpe-greenlake-lighthouse,2022-01-31T20:49:30.190Z,United States,Maryland,Bethesda,a6a7bb04-05c5-4bdb-81f0-fda070b9809f,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:09:58.611Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:11:15.455Z,United States,California,San Jose,ea1c6296-035a-4906-9573-b01425553486,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/desktop-virtualization-solutions,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:11:19.122Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/desktop-virtualization-solutions,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:14:48.670Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:15:33.676Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/hpe-greenlake-for-vdi,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:19:09.487Z,United States,California,Santa Clara,a8461dbc-b955-42fe-8ce6-64751c06c662,desktop
a50001972enw,HPE GreenLake On-premises VDI with cloud-like economics,Solution Brief,https://greenlake.hpe.pagedip.com/on-premises-vdi-with-cloud-like-economics/,on-premises-vdi-with-cloud-like-economics,2022-01-31T21:38:59.452Z,United States,New York,New York,1ab0c52e-5363-48e0-8b21-2f59ce0e828c,desktop
